Price,Close,High,Low,Open,Volume
Ticker,TSLA-USD,TSLA-USD,TSLA-USD,TSLA-USD,TSLA-USD
Date,,,,,
2020-11-06,1.1091289520263672,1.2000939846038818,0.8268100023269653,1.0461139678955078,111066
2020-11-07,1.0971260070800781,1.2006289958953857,0.8272609710693359,1.1091289520263672,129844
2020-11-08,1.0795120000839233,1.0981429815292358,1.062399983406067,1.0971260070800781,133412
2020-11-09,1.077402949333191,1.080014944076538,1.0708529949188232,1.0795120000839233,182625
2020-11-10,1.07110595703125,1.2007570266723633,0.8273299932479858,1.077402949333191,175186
2020-11-11,1.0749579668045044,1.0802229642868042,1.0624489784240723,1.07110595703125,153266
2020-11-12,1.0727460384368896,1.076841950416565,1.069996953010559,1.0749579668045044,131888
2020-11-13,1.0740419626235962,1.0802559852600098,1.0621360540390015,1.0727460384368896,310593
2020-11-14,1.0651359558105469,1.0745359659194946,1.056494951248169,1.0740410089492798,334127
2020-11-15,1.0619909763336182,1.066809058189392,0.9286149740219116,1.065163016319275,299942
2020-11-16,1.094831943511963,1.0977239608764648,1.06113600730896,1.0619889497756958,492985
2020-11-17,1.1098730564117432,1.1158219575881958,1.0642149448394775,1.0836520195007324,501884
2020-11-18,1.1393170356750488,1.167580008506775,1.0898020267486572,1.1098970174789429,343457
2020-11-19,1.147344946861267,1.1793349981307983,1.115414023399353,1.1393729448318481,452633
2020-11-20,1.1621119976043701,1.1744810342788696,1.1354349851608276,1.1473289728164673,409613
2020-11-21,1.1520940065383911,1.1811929941177368,1.1464810371398926,1.1620190143585205,302416
2020-11-22,1.1508100032806396,1.1618820428848267,1.0629830360412598,1.1521049737930298,407133
2020-11-23,1.1526659727096558,1.1562570333480835,1.062643051147461,1.1507689952850342,489310
2020-11-24,1.1659289598464966,1.1727399826049805,1.1361639499664307,1.153164029121399,414455
2020-11-25,1.1471220254898071,1.1675740480422974,1.0764329433441162,1.1658769845962524,423982
2020-11-26,1.171090006828308,1.223402976989746,1.142730951309204,1.147063970565796,418458
2020-11-27,1.1621739864349365,1.1861259937286377,1.1481950283050537,1.1713320016860962,535174
2020-11-28,1.192229986190796,1.2006089687347412,1.1575030088424683,1.1621719598770142,482988
2020-11-29,1.2196389436721802,1.242527961730957,1.1888580322265625,1.1922229528427124,474266
2020-11-30,1.3015979528427124,1.3263180255889893,1.2196099758148193,1.2196099758148193,626032
2020-12-01,1.3056039810180664,1.3415180444717407,1.2889280319213867,1.3015409708023071,561658
2020-12-02,1.307083010673523,1.3089760541915894,1.2620960474014282,1.305582046508789,570673
2020-12-03,1.3329529762268066,1.3342349529266357,1.2902179956436157,1.3070420026779175,524380
2020-12-04,1.285951018333435,1.3372780084609985,1.1959190368652344,1.3331290483474731,568300
2020-12-05,1.3074979782104492,1.3628909587860107,1.224223017692566,1.284011960029602,609319
2020-12-06,1.3243340253829956,1.326848030090332,1.3019709587097168,1.3077839612960815,539784
2020-12-07,1.320106029510498,1.3306939601898193,1.307939052581787,1.3243930339813232,509293
2020-12-08,1.2932029962539673,1.3230739831924438,1.2913010120391846,1.320011019706726,504380
2020-12-09,1.2888200283050537,1.3504060506820679,1.2387679815292358,1.2932209968566895,542034
2020-12-10,1.2680280208587646,1.3523080348968506,1.109423041343689,1.288403034210205,552760
2020-12-11,1.2339860200881958,1.271886944770813,1.2200369834899902,1.2681130170822144,601489
2020-12-12,1.2783299684524536,1.283318042755127,1.178326964378357,1.233525037765503,605827
2020-12-13,1.3146120309829712,1.3287019729614258,1.1958060264587402,1.2786270380020142,657682
2020-12-14,1.3139499425888062,1.321192979812622,1.2627359628677368,1.314424991607666,620843
2020-12-15,1.2929519414901733,1.3476810455322266,1.2929370403289795,1.3136810064315796,640705
2020-12-16,1.4084800481796265,1.413593053817749,1.2928129434585571,1.2928129434585571,511147
2020-12-17,1.4910210371017456,1.520231008529663,1.2923020124435425,1.4086120128631592,563684
2020-12-18,1.5082579851150513,1.5082579851150513,1.4651169776916504,1.4906500577926636,701972
2020-12-19,1.5254160165786743,1.5487840175628662,1.4864100217819214,1.5087120532989502,707709
2020-12-20,1.5088880062103271,1.586624026298523,1.5011570453643799,1.525635004043579,474966
2020-12-21,1.4744329452514648,1.5287909507751465,1.4434189796447754,1.5071359872817993,830128
2020-12-22,1.4934200048446655,1.5025889873504639,1.4506030082702637,1.4722800254821777,595603
2020-12-23,1.5020860433578491,1.5176949501037598,1.4004290103912354,1.4932620525360107,590882
2020-12-24,1.4907209873199463,1.5016820430755615,1.4694629907608032,1.5014150142669678,693243
2020-12-25,1.5409220457077026,1.6242170333862305,1.4898780584335327,1.4898790121078491,708685
2020-12-26,1.619014024734497,1.6218130588531494,1.5103750228881836,1.5406850576400757,601491
2020-12-27,1.4749269485473633,1.6590219736099243,1.2929999828338623,1.6193310022354126,598141
2020-12-28,1.5424599647521973,1.674659013748169,1.4739749431610107,1.4739749431610107,379112
2020-12-29,1.580839991569519,1.5810270309448242,1.4420959949493408,1.5424540042877197,545560
2020-12-30,1.5972989797592163,1.6247010231018066,1.5799479484558105,1.5808160305023193,509073
2020-12-31,1.601912021636963,1.6339319944381714,1.5830409526824951,1.5975029468536377,611375
2021-01-01,1.6202189922332764,1.6353050470352173,1.5954159498214722,1.6019140481948853,793531
2021-01-02,1.6548739671707153,1.687641978263855,1.6134259700775146,1.6204689741134644,1038245
2021-01-03,1.7580909729003906,1.8692289590835571,1.6179699897766113,1.6564120054244995,761710
2021-01-04,1.7353639602661133,1.7841769456863403,1.610044002532959,1.759248971939087,787207
2021-01-05,1.8175079822540283,1.8312170505523682,1.6822179555892944,1.7354480028152466,772908
2021-01-06,1.9474600553512573,1.9580579996109009,1.7958580255508423,1.8162750005722046,898296
2021-01-07,2.082274913787842,2.0966169834136963,1.9314730167388916,1.946539044380188,952615
